ID,Lớp,Chương,Bài học,Dạng toán,Mức độ,Loại câu,Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng,Lời giải,Nguồn
L7-C1B3-020,7,Chương 1,Lũy thừa của số hữu tỉ,Tìm x,Van dung,Trac nghiem,"Nếu $(\frac{2}{3})^x \cdot (\frac{2}{3})^2 = \frac{8}{27}$ thì $x$ bằng:","$1$","$2$","$3$","$5$",A,"Ta có $\frac{8}{27} = (\frac{2}{3})^3$. Phương trình trở thành $(\frac{2}{3})^{x+2} = (\frac{2}{3})^3 \Rightarrow x + 2 = 3 \Rightarrow x = 1$.",Toán 7 - KNTT
L7-C1B3-021,7,Chương 1,Lũy thừa của số hữu tỉ,Lũy thừa của một tích,Thong hieu,Trac nghiem,"Tích của $5^3 \cdot 2^3$ bằng với lũy thừa nào sau đây? (Áp dụng lũy thừa của một tích):","$10^3$","$10^6$","$7^3$","$10^9$",A,"$5^3 \cdot 2^3 = (5 \cdot 2)^3 = 10^3$.",Toán 7 - KNTT
L7-C1B3-022,7,Chương 1,Lũy thừa của số hữu tỉ,Lũy thừa của một thương,Thong hieu,Trac nghiem,"Giá trị của biểu thức $\frac{12^4}{4^4}$ là:","$3^4$","$8^4$","$3$","$16^4$",A,"Áp dụng $(x/y)^n = x^n / y^n \Rightarrow \frac{12^4}{4^4} = (\frac{12}{4})^4 = 3^4$.",Toán 7 - KNTT
L7-C1B3-023,7,Chương 1,Lũy thừa của số hữu tỉ,Lũy thừa với số mũ 0,Thong hieu,Trac nghiem,"Cho $x \neq 0$, giá trị của biểu thức $A = (x^2 + 1)^0 + (\frac{1}{2})^0$ là:","$0$","$1$","$2$",Không xác định,C,"Bất kỳ số nào khác $0$ mũ $0$ đều bằng $1$. Ta có $(x^2+1)^0 = 1$ và $(1/2)^0 = 1 \Rightarrow A = 1 + 1 = 2$.",Toán 7 - KNTT
L7-C1B3-024,7,Chương 1,Lũy thừa của số hữu tỉ,Lũy thừa của một tích,Thong hieu,Trac nghiem,"Kết quả của phép tính $(-\frac{1}{3})^3 \cdot 3^3$ là:","$1$","$-1$","$0$","$-3$",B,"Cách 1: $(-\frac{1}{3} \cdot 3)^3 = (-1)^3 = -1$.",Toán 7 - KNTT
L7-C1B3-025,7,Chương 1,Lũy thừa của số hữu tỉ,Rút gọn biểu thức chữ,Thong hieu,Trac nghiem,"Rút gọn biểu thức $(x^2 \cdot y^3)^2$, ta thu được kết quả:","$x^4 y^5$","$x^4 y^6$","$x^2 y^6$","$x^4 y^9$",B,"Áp dụng lũy thừa của một tích và lũy thừa của lũy thừa: $(x^2 \cdot y^3)^2 = (x^2)^2 \cdot (y^3)^2 = x^4 \cdot y^6$.",Toán 7 - KNTT
L7-C1B3-026,7,Chương 1,Lũy thừa của số hữu tỉ,Điều kiện cơ số,Thong hieu,Trac nghiem,"Tìm $x$ thỏa mãn điều kiện $(x - 2)^0 = 1$. Điều kiện của $x$ là:","$x = 2$","$x = 0$","$x \neq 2$",Mọi $x$,C,"Để biểu thức mũ $0$ bằng $1$ có nghĩa, cơ số phải khác $0$. Do đó $x - 2 \neq 0 \Rightarrow x \neq 2$.",Toán 7 - KNTT
L7-C1B3-027,7,Chương 1,Lũy thừa của số hữu tỉ,Tìm x,Van dung,Trac nghiem,"Tìm $x \in \mathbb{Q}$, biết $(x - \frac{1}{3})^2 = \frac{4}{9}$:","$x = 1$","$x = -\frac{1}{3}$","$x \in \{1; -\frac{1}{3}\}$","$x \in \{1; \frac{1}{3}\}$",C,"$(x - 1/3)^2 = (\pm 2/3)^2$. TH1: $x - 1/3 = 2/3 \implies x = 1$. TH2: $x - 1/3 = -2/3 \implies x = -1/3$.",Toán 7 - KNTT
L7-C1B3-028,7,Chương 1,Lũy thừa của số hữu tỉ,Tìm x,Van dung,Trac nghiem,"Tìm $x \in \mathbb{Q}$, biết $x^2 + (\frac{1}{2})^2 = \frac{5}{4}$:","$x = 1$","$x = -1$","$x = \pm 1$","$x = 0$",C,"$x^2 + \frac{1}{4} = \frac{5}{4} \implies x^2 = \frac{5}{4} - \frac{1}{4} \implies x^2 = 1 \implies x = \pm 1$.",Toán 7 - KNTT
L7-C1B3-029,7,Chương 1,Lũy thừa của số hữu tỉ,Tìm x,Van dung,Trac nghiem,"Biết $(2x + 1)^2 - 9 = 0$. Các giá trị của $x$ là:","$x \in \{1; 2\}$","$x \in \{1; -2\}$","$x \in \{-1; 2\}$","$x \in \{4; -5\}$",B,"$(2x + 1)^2 = 9 = (\pm 3)^2$. TH1: $2x + 1 = 3 \implies 2x = 2 \implies x = 1$. TH2: $2x + 1 = -3 \implies 2x = -4 \implies x = -2$.",Toán 7 - KNTT
L7-C1B3-030,7,Chương 1,Lũy thừa của số hữu tỉ,Tính toán biểu thức,Van dung,Trac nghiem,"Tính giá trị của biểu thức $M = \frac{4^5}{2^{10}} + 2026^0$:","$1$","$2$","$3$","$4$",B,"$M = \frac{(2^2)^5}{2^{10}} + 1 = \frac{2^{10}}{2^{10}} + 1 = 1 + 1 = 2$.",Toán 7 - KNTT
